CodigoReceita,Idade,TipoTraco,CodigoAglomerante,FCK,RelacaoAguaCimento
31863051,28,N,29051,18,0.802
31879051,28,N,62051,18,0.892
39266051,28,N,85051,18,0.759
39267051,28,N,83051,18,0.794
15051,28,N,3051,20,0.784
358051,28,N,8051,20,0.938
359051,28,N,41051,20,0.899
360051,28,N,12051,20,0.72
370051,28,N,3051,20,0.889
749051,28,N,13051,20,0.819
1062051,28,N,10051,20,0.926
1105051,28,N,41051,20,0.785
1267051,28,N,10051,20,0.879
1356051,28,N,15051,20,0.878
1745051,28,N,,20,0.905
1958051,28,N,14051,20,0.836
2007051,28,N,11051,20,0.739
2770051,28,N,18051,20,0.784
3350051,28,N,4051,20,0.926
3645051,28,N,17051,20,0.926
3994051,28,N,15051,20,0.784
4893051,28,N,18051,20,0.836
5006051,28,N,25051,20,0.736
5743051,28,N,17051,20,0.942
8085051,28,N,26051,20,0.788
8635051,28,N,27051,20,0.843
9190051,28,N,29051,20,0.794
10652051,28,N,7051,20,0.888
10656051,28,N,24051,20,0.838
14989051,28,N,43051,20,0.713
15884051,28,N,45051,20,0.707
15983051,28,N,46051,20,0.705
16004051,28,N,14051,20,0.848
16162051,28,N,44051,20,0.782
16255051,28,N,10051,20,0.827
16462051,28,N,17051,20,0.827
19709051,28,N,15051,20,0.772
19711051,28,N,18051,20,0.823
20755051,28,N,57051,20,0.747
21031051,28,N,55051,20,0.816
21274051,28,N,59051,20,0.698
22350051,28,N,60051,20,0.795
22440051,28,N,42051,20,0.857
22639051,28,N,41051,20,0.819
22641051,28,N,62051,20,0.823
23096051,28,N,11051,20,0.739
23098051,28,N,58051,20,0.798
23299051,28,N,12051,20,0.72
23711051,28,N,63051,20,0.756
23713051,28,N,15051,20,0.772
24100051,28,N,64051,20,0.769
24370051,28,N,57051,20,0.747
25314051,28,N,41051,20,0.819
25607051,28,N,64051,20,0.769
25614051,28,N,41051,20,0.749
25616051,28,N,63051,20,0.75
25936051,28,N,10051,20,0.765
26326051,28,N,64051,20,0.768
26496051,28,N,65051,20,0.737
26773051,28,N,63051,20,0.818
26775051,28,N,41051,20,0.749
28145051,28,N,60051,20,0.795
28147051,28,N,13051,20,0.819
28178051,28,N,42051,20,0.749
28180051,28,N,42051,20,0.784
28190051,28,N,29051,20,0.795
28192051,28,N,3051,20,0.784
28418051,28,N,67051,20,0.726
28964051,28,N,66051,20,0.805
29075051,28,N,68051,20,0.85
29560051,28,N,70051,20,0.743
29833051,28,N,71051,20,0.768
29867051,28,N,62051,20,0.85
30000051,28,N,72051,20,0.776
30465051,28,N,70051,20,0.844
31244051,28,N,71051,20,0.755
32532051,28,N,74051,20,0.707
32542051,28,N,74051,20,0.707
34097051,28,N,75051,20,0.785
34265051,28,N,60051,20,0.765
35705051,28,N,28051,20,0.876
35707051,28,N,61051,20,0.842
35858051,28,N,79051,20,0.823
36499051,28,N,77051,20,0.757
37459051,28,N,81051,20,0.813
38317051,28,N,85051,20,0.819
38339051,28,N,68051,20,0.867
38351051,28,N,85051,20,0.716
38362051,28,N,88051,20,0.695
39340051,28,N,94051,20,0.716
39714051,28,N,96051,20,0.819
39976051,28,N,93051,20,0.774
40933051,28,N,62051,20,0.904
41717051,28,N,91051,20,0.806
41955051,28,N,95051,20,0.857
42670051,28,N,92051,20,0.805
43767051,28,N,107051,20,0.984
43777051,28,N,106051,20,0.986
43779051,28,N,107051,20,0.986
44090051,28,N,11051,20,0.874
44160051,28,N,109051,20,0.968
44161051,28,N,108051,20,0.89
45115051,28,N,14051,20,0.878
45151051,28,N,109051,20,0.952
45155051,28,N,108051,20,0.953
16051,28,N,3051,25,0.687
361051,28,N,8051,25,0.807
362051,28,N,41051,25,0.791
363051,28,N,12051,25,0.643
455051,28,N,3051,25,0.797
546051,28,N,4051,25,0.793
548051,28,N,10051,25,0.836
690051,28,N,41051,25,0.697
750051,28,N,13051,25,0.717
1350051,28,N,15051,25,0.769
1358051,28,N,15051,25,0.697
1743051,28,N,,25,0.793
1949051,28,N,14051,25,0.793
2565051,28,N,11051,25,0.661
2772051,28,N,18051,25,0.703
3174051,28,N,4051,25,0.744
3197051,28,N,7051,25,0.806
3643051,28,N,17051,25,0.836
4895051,28,N,18051,25,0.74
5018051,28,N,25051,25,0.65
5745051,28,N,17051,25,0.847
8093051,28,N,26051,25,0.703
8919051,28,N,27051,25,0.719
8958051,28,N,29051,25,0.713
9433051,28,N,10051,25,0.847
11173051,28,N,24051,25,0.75
15024051,28,N,43051,25,0.638
15847051,28,N,45051,25,0.632
15890051,28,N,44051,25,0.697
16012051,28,N,14051,25,0.77
16061051,28,N,46051,25,0.63
16249051,28,N,10051,25,0.729
16371051,28,N,17051,25,0.718
19579051,28,N,15051,25,0.699
19581051,28,N,18051,25,0.699
20226051,28,N,55051,25,0.741
20785051,28,N,57051,25,0.685
21231051,28,N,59051,25,0.642
21563051,28,N,58051,25,0.724
22368051,28,N,60051,25,0.713
22476051,28,N,62051,25,0.75
22478051,28,N,41051,25,0.715
22645051,28,N,42051,25,0.75
23759051,28,N,63051,25,0.697
23761051,28,N,15051,25,0.699
24124051,28,N,64051,25,0.685
24366051,28,N,12051,25,0.643
24368051,28,N,57051,25,0.685
24547051,28,N,11051,25,0.661
25697051,28,N,64051,25,0.685
25950051,28,N,63051,25,0.689
25952051,28,N,41051,25,0.673
26350051,28,N,64051,25,0.675
26520051,28,N,65051,25,0.655
26826051,28,N,63051,25,0.689
26828051,28,N,41051,25,0.658
28008051,28,N,42051,25,0.658
28032051,28,N,60051,25,0.713
28034051,28,N,61051,25,0.759
28108051,28,N,29051,25,0.675
28110051,28,N,3051,25,0.687
28158051,28,N,13051,25,0.715
29099051,28,N,68051,25,0.757
29184051,28,N,68051,25,0.707
29726051,28,N,70051,25,0.671
29875051,28,N,62051,25,0.757
29895051,28,N,71051,25,0.68
30002051,28,N,72051,25,0.692
30449051,28,N,70051,25,0.766
30761051,28,N,61051,25,0.776
30820051,28,N,66051,25,0.719
31248051,28,N,71051,25,0.681
31757051,28,N,28051,25,0.732
31808051,28,N,56051,25,0.717
32530051,28,N,74051,25,0.639
32536051,28,N,74051,25,0.639
34103051,28,N,60051,25,0.684
