CodigoCentroSaida,CodigoGrupoInsumo,CodigoInsumo,CodigoFornecedor,Ativo,DensidadeReal,DensidadeAparente,DataAlteracao
51020,F,9,200350,S,0,0,2010-09-10 15:24:14.163
51120,E,9,200350,N,2.95,1.35,2010-09-29 11:15:05.437
80020,E,9,200350,S,2.95,1.35,2010-10-04 09:13:27.08
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:06.5
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:06.547
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:06.593
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:06.627
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:06.69
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:06.75
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:06.813
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:06.877
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:06.923
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:06.953
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:07
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:07.08
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:07.127
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:07.157
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:07.19
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:07.237
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:07.267
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:07.297
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:07.33
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:07.377
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:07.423
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:07.47
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:07.5
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:07.547
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:07.58
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:07.627
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:07.673
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:07.72
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:07.75
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:07.783
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:07.83
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:07.86
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:07.89
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:07.923
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:07.97
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:08
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:08.047
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:08.08
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:08.11
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:08.157
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:08.19
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:08.22
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:08.267
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:08.313
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:08.36
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:08.407
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:08.44
51120,A,2,200350,S,3,2,2010-06-30 16:02:16.163
51120,C,1,200350,S,2,1,2010-06-30 16:03:04.143
51120,D,12,200350,S,1.125,1.125,2010-06-30 16:06:48.693
51120,F,10,200350,S,0,0,2010-06-30 16:08:52.053
51120,A,2,200350,S,2.591,1.121,2010-06-30 16:35:42.91
51120,B,3,200350,S,2.688,1.376,2010-06-30 16:38:18.057
79020,B,1,200350,S,2.741,1.47,2010-06-30 19:00:00.86
51120,E,2,200350,S,2.2,1.35,2010-06-30 19:07:32.63
51020,E,9,200350,S,2.95,1.35,2010-07-01 16:58:33.73
80020,E,9,200350,S,2.95,1.35,2010-07-01 17:00:10.993
80020,A,14,200350,S,2.688,1.33,2010-07-02 06:36:15.437
80020,F,5,200350,S,0,0,2010-07-02 06:37:53.887
79020,A,2,200350,S,2.591,1.121,2010-07-02 06:38:27.73
79020,A,14,200350,S,2.741,1.33,2010-07-02 06:38:42.54
79020,F,1,200350,S,0,0,2010-07-02 06:39:52.023
79020,F,10,200350,S,1,1,2010-07-02 06:40:39.007
79020,E,9,200350,S,2.95,1.35,2010-07-22 15:15:05.407
79020,E,9,200350,N,2.95,1.35,2010-07-22 15:16:34.12
79020,D,21,204093,S,0,0,2010-08-10 16:49:13.203
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:08.47
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:08.517
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:08.547
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:08.593
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:08.627
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:08.657
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:08.703
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:08.737
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:08.783
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:08.813
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:08.843
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:08.89
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:08.923
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:08.953
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:08.987
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:09.033
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:09.063
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:09.11
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:09.14
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:09.173
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:09.203
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:09.25
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:09.283
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:09.33
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:09.377
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:09.407
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:09.44
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:09.487
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:09.517
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:09.563
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:09.593
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:09.627
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:09.657
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:09.703
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:09.737
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:09.767
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:09.813
51120,A,2,200350,S,2.688,1.33,2010-06-30 16:36:43.563
51020,E,2,200350,S,2.2,1.35,2010-06-30 18:03:34.913
51120,E,2,200350,S,2.2,1.35,2010-06-30 18:05:11.003
79020,E,2,200350,S,2.2,1.35,2010-06-30 18:07:36.64
80020,E,2,200350,S,2.2,1.35,2010-06-30 18:08:47.417
79020,E,9,200350,S,2.95,1.35,2010-07-01 16:59:57.883
80020,B,3,200350,S,2.681,1.423,2010-07-02 06:36:43.39
51020,D,79,200350,S,1.08,1.08,2010-07-15 14:05:10.433
51120,D,79,200350,N,1.08,1.08,2010-07-15 14:06:16.667
79020,D,79,200350,S,1.08,1.08,2010-08-10 16:09:41.25
51120,B,3,200350,S,2.681,1.423,2010-08-25 17:20:02.667
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:09.86
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:09.907
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:09.953
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:10
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:10.047
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:10.08
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:10.127
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:10.173
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:10.203
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:10.25
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:10.283
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:10.313
