CodigoCentroSaida,TipoTraco,TipoLancamento,Aglomerante,DataProjecao,MPaAcimaPeriodosReais,MPaAcimaPeriodosProjetados,PercentualAbaixoPeriodosReais,PercentualAbaixoPeriodosProjetados,UltimaAlteracaoDesvioImpactouDadosReais,AlteracaoDesvio
60020,N,B,24051.0,2018-07-06 07:06:14.030,2.6445608108108107,4.294731434402295,5.0,6.666666666666667,True,INDEFINIDO
51020,N,B,75051.0,2018-07-06 10:24:07.697,0.0,5.929377111282622,0.0,0.0,False,INDEFINIDO
60020,E,B,77051.0,2018-07-13 06:48:04.863,3.9615032679738564,6.854724476831968,5.0,0.0,True,MANTEVE
60020,N,B,77051.0,2018-07-13 07:19:36.940,6.684567901234568,1.9447438756494126,0.0,12.244897959183673,True,MANTEVE
79020,N,B,62051.0,2018-07-13 07:07:17.897,2.9198543689320395,7.658462544102826,3.7037037037037033,6.122448979591836,False,AUMENTOU POUCO
79020,E,B,62051.0,2018-07-13 07:09:08.043,6.006584867075664,4.476812147989574,0.0,18.51851851851852,False,MANTEVE
51120,N,C,60051.0,2018-07-13 07:58:48.260,4.30990099009901,5.407552355893371,7.4074074074074066,7.792207792207792,True,MANTEVE
51120,E,B,60051.0,2018-07-13 08:21:28.870,8.271743119266056,8.895555063074779,0.0,0.0,False,DIMINUIU POUCO
51020,E,B,75051.0,2018-07-13 08:05:54.720,0.0,0.0,0.0,0.0,False,INDEFINIDO
51020,N,C,75051.0,2018-07-13 12:59:48.360,0.0,5.517672095939961,0.0,0.0,False,MANTEVE
79120,E,B,69051.0,2018-07-13 08:25:29.990,0.0,0.0,0.0,0.0,True,MANTEVE
51120,E,B,61051.0,2018-07-13 09:02:42.130,0.0,0.0,0.0,0.0,True,AUMENTOU POUCO
79120,N,B,68051.0,2018-07-13 07:23:16.823,2.248587257617728,6.193185982524294,12.0,6.25,False,AUMENTOU POUCO
79120,E,C,68051.0,2018-07-13 15:15:53.177,3.52388367729831,3.2249634053101492,8.571428571428571,13.953488372093023,True,DIMINUIU POUCO
80020,N,C,79051.0,2018-07-13 08:00:32.583,0.0,2.9045813528878397,0.0,6.896551724137931,False,DIMINUIU POUCO
51020,E,B,29051.0,2018-07-13 11:00:29.370,6.384628224582701,3.3819164763527017,0.0,9.090909090909092,False,DIMINUIU POUCO
51020,N,C,29051.0,2018-07-13 07:37:32.537,3.879910447761194,1.75201336155027,20.833333333333336,11.428571428571429,True,MANTEVE
51020,E,B,28051.0,2018-07-13 15:26:11.170,0.0,0.0,0.0,0.0,True,MANTEVE
80020,N,B,44051.0,2018-07-13 07:41:57.717,0.0,-30.0,0.0,100.0,False,MANTEVE
60020,N,B,24051.0,2018-07-13 15:43:31.023,2.271338028169014,8.823798949022118,21.052631578947366,0.0,True,MANTEVE
79120,E,C,68051.0,2018-07-20 07:13:47.563,3.0677066666666657,4.750228020753507,8.333333333333332,8.955223880597014,True,MANTEVE
79120,N,B,68051.0,2018-07-20 09:05:04.640,3.0106484149855914,6.2313181916040135,12.244897959183673,5.88235294117647,True,DIMINUIU POUCO
51020,N,B,75051.0,2018-07-20 07:34:22.460,0.0,5.644975124144961,0.0,0.0,False,MANTEVE
79020,N,B,62051.0,2018-07-20 08:28:26.983,3.891798245614035,6.4427819548428555,3.225806451612903,10.0,True,DIMINUIU POUCO
79020,E,B,62051.0,2018-07-20 07:05:15.547,6.49451871657754,5.174462831838522,0.0,13.513513513513514,True,DIMINUIU POUCO
80020,N,B,79051.0,2018-07-20 08:37:47.360,4.540785714285715,2.119757298356587,5.263157894736842,9.090909090909092,False,MANTEVE
80020,E,B,79051.0,2018-07-20 08:18:21.797,0.0,10.110787642786093,0.0,0.0,False,INDEFINIDO
60020,E,B,77051.0,2018-07-20 07:31:24.563,5.701282894736845,7.257942927977104,0.0,0.0,True,MANTEVE
51120,E,B,61051.0,2018-07-20 07:32:05.800,0.0,0.0,0.0,0.0,True,MANTEVE
51120,N,B,60051.0,2018-07-20 07:52:18.660,4.32201174743025,6.01062567129895,8.88888888888889,4.615384615384616,False,DIMINUIU POUCO
51120,E,B,60051.0,2018-07-20 07:33:49.283,7.844130434782611,8.856802543068504,0.0,0.0,False,MANTEVE
51020,N,B,28051.0,2018-07-20 08:03:22.633,7.1139393939393925,3.908081885037741,0.0,0.0,True,INDEFINIDO
51020,E,B,28051.0,2018-07-20 06:27:20.470,0.0,0.0,0.0,0.0,False,AUMENTOU MUITO
60020,E,B,81051.0,2018-07-20 09:10:04.453,0.0,4.907878598529387,0.0,0.0,False,INDEFINIDO
60020,N,C,81051.0,2018-07-20 13:19:11.240,0.0,2.2906914379663057,0.0,0.0,False,INDEFINIDO
51020,N,B,29051.0,2018-07-20 10:25:10.707,4.00046904315197,1.9420868958542026,5.405405405405405,17.24137931034483,True,MANTEVE
51020,E,B,29051.0,2018-07-20 10:18:07.983,7.50669230769231,3.169168146463214,0.0,11.11111111111111,False,MANTEVE
60020,N,C,24051.0,2018-07-20 13:51:08.850,1.3130188679245278,8.696371977956472,57.14285714285714,0.0,True,MANTEVE
60020,E,B,24051.0,2018-07-20 09:02:36.667,0.0,0.0,0.0,0.0,False,INDEFINIDO
79120,E,B,69051.0,2018-07-20 09:21:04.150,0.0,0.0,0.0,0.0,False,AUMENTOU POUCO
80020,N,C,70051.0,2018-07-20 11:42:07.227,4.748406374501992,2.3381782758913974,5.88235294117647,0.0,True,INDEFINIDO
80020,E,B,70051.0,2018-07-20 15:16:24.097,5.863076923076923,2.7963243143066236,0.0,0.0,True,INDEFINIDO
51020,N,B,72051.0,2018-07-20 09:34:21.390,6.733636363636364,8.488033515925771,0.0,0.0,True,INDEFINIDO
79020,E,B,56051.0,2018-07-20 16:15:14.230,0.0,0.0,0.0,0.0,True,INDEFINIDO
60020,E,B,81051.0,2018-07-27 07:13:54.313,0.0,5.113707831343611,0.0,2.083333333333333,False,AUMENTOU POUCO
60020,N,B,81051.0,2018-07-27 13:02:04.747,0.0,2.2906914379663057,0.0,0.0,False,MANTEVE
51020,E,B,29051.0,2018-07-27 07:18:58.803,6.018684210526315,9.109529893438513,0.0,0.0,False,AUMENTOU MUITO
51020,N,C,29051.0,2018-07-27 14:13:20.440,3.8867173913043485,7.183412281268272,0.0,3.7037037037037033,False,AUMENTOU POUCO
79120,N,C,68051.0,2018-07-27 07:26:34.410,4.3884791965566725,6.120452872702304,6.122448979591836,1.8867924528301887,True,DIMINUIU POUCO
79120,E,B,68051.0,2018-07-27 08:21:42.460,5.353181818181817,7.75169969834762,5.555555555555555,0.0,True,MANTEVE
51020,E,B,28051.0,2018-07-27 08:25:28.993,0.0,0.0,0.0,0.0,False,MANTEVE
79020,E,B,62051.0,2018-07-27 09:43:07.337,8.134712041884816,10.48842865587907,0.0,0.0,True,MANTEVE
79020,N,B,62051.0,2018-07-27 10:00:07.410,5.376039325842696,7.799093600632806,4.166666666666666,1.7241379310344827,True,DIMINUIU POUCO
51120,N,C,60051.0,2018-07-27 13:03:02.250,4.234470938897168,7.221024932608788,6.666666666666667,0.0,False,AUMENTOU POUCO
