CodigoAglomerante,Ano,Mes,ParametroX,ParametroY,DataAlteracao
12051,2010,8,2.5976,-0.3819,2010-09-24 11:45:29.59
12051,2010,9,2.5976,-0.3819,2010-09-24 11:45:29.607
12051,2010,8,2.6411,-0.3312,2010-09-24 11:47:13.117
12051,2010,9,2.6411,-0.3312,2010-09-24 11:47:13.133
12051,2010,8,2.0087,-0.1198,2010-09-24 15:33:43.623
12051,2010,9,2.0087,-0.1198,2010-09-24 15:33:43.64
12051,2010,8,1.9869,-0.1065,2010-09-24 15:41:14.49
12051,2010,9,1.9869,-0.1065,2010-09-24 15:41:14.507
4051,2010,8,1.9138,-0.1793,2010-09-28 15:26:43.22
4051,2010,9,1.9138,-0.1793,2010-09-28 15:26:43.233
10051,2010,8,1.93,-0.1793,2010-09-28 15:29:17.13
10051,2010,9,1.93,-0.1793,2010-09-28 15:29:17.147
7051,2010,8,1.5411,-0.0836,2010-09-28 16:04:28.477
7051,2010,9,1.5411,-0.0836,2010-09-28 16:04:28.493
11051,2010,8,1.9138,-0.1793,2010-09-28 16:06:02.363
11051,2010,9,1.9138,-0.1793,2010-09-28 16:06:02.38
4051,2010,8,1.9138,-0.1793,2010-09-28 16:12:36.67
4051,2010,9,1.9138,-0.1793,2010-09-28 16:12:36.67
7051,2010,8,1.5411,-0.0836,2010-09-28 16:13:38.387
7051,2010,9,1.5411,-0.0836,2010-09-28 16:13:38.4
10051,2010,8,1.93,-0.1793,2010-09-28 16:14:18.76
10051,2010,9,1.93,-0.1793,2010-09-28 16:14:18.853
11051,2010,8,1.9138,-0.1793,2010-09-28 16:15:04.43
13051,2010,7,2.834,-0.3993,2010-07-12 11:06:54.683
10051,2010,8,1.93,-0.1793,2010-08-06 15:27:49.467
11051,2010,8,1.9138,-0.1793,2010-08-06 15:28:59.513
12051,2010,7,3.0496,-0.4714,2010-08-28 11:14:13.3
12051,2010,8,3.0496,-0.4714,2010-08-28 11:14:13.317
12051,2010,8,2.8633,-0.4538,2010-09-24 11:06:56.583
12051,2010,9,2.8633,-0.4538,2010-09-24 11:06:56.6
12051,2010,8,3.019,-0.5113,2010-09-24 11:12:16.443
12051,2010,9,3.019,-0.5113,2010-09-24 11:12:16.46
12051,2010,8,2.6411,-0.3312,2010-09-24 11:14:58.45
12051,2010,9,2.6411,-0.3312,2010-09-24 11:14:58.467
11051,2010,9,1.9138,-0.1793,2010-09-28 16:15:04.507
14051,2010,8,1.9138,-0.1793,2010-09-28 16:16:20.66
14051,2010,9,1.9138,-0.1793,2010-09-28 16:16:20.753
5051,2010,9,2.537,-0.322,2010-10-01 08:22:51.46
5051,2010,10,2.537,-0.322,2010-10-01 08:22:51.477
6051,2010,10,2.275,-0.209,2010-10-01 08:26:31.45
8051,2010,10,2.3514,-0.2493,2010-10-01 08:34:16.677
9051,2010,10,3.4047,-0.5869,2010-10-01 08:38:54.083
11051,2010,10,1.9138,-0.1793,2010-10-01 08:46:09.81
12051,2010,10,2.0087,-0.1198,2010-10-01 08:47:06.293
14051,2010,10,1.9138,-0.1793,2010-10-01 08:52:24.2
15051,2010,10,3.1795,-0.5411,2010-10-01 08:53:20.603
3051,2010,8,3.0034,-0.4973,2010-10-01 09:49:54.91
3051,2010,9,3.0034,-0.4973,2010-10-01 09:49:54.927
3051,2010,10,3.0034,-0.4973,2010-10-01 09:49:54.943
12051,2010,8,2.5754,-0.3769,2010-10-01 10:33:01.717
12051,2010,9,2.5754,-0.3769,2010-10-01 10:33:01.733
12051,2010,10,2.5754,-0.3769,2010-10-01 10:33:01.75
12051,2010,8,2.0087,-0.1198,2010-10-01 10:42:01.44
12051,2010,9,2.0087,-0.1198,2010-10-01 10:42:01.457
12051,2010,10,2.0087,-0.1198,2010-10-01 10:42:01.47
12051,2010,8,2.1541,-0.2381,2010-10-01 11:05:18.12
12051,2010,9,2.1541,-0.2381,2010-10-01 11:05:18.133
12051,2010,10,2.1541,-0.2381,2010-10-01 11:05:18.15
12051,2010,8,1.8956,-0.1146,2010-10-01 15:54:30.97
12051,2010,9,1.8956,-0.1146,2010-10-01 15:54:30.983
12051,2010,8,-1.9602,-0.1321,2010-10-01 16:02:40.367
12051,2010,9,1.9602,-0.1321,2010-10-01 16:02:40.383
12051,2010,8,2.1638,-0.2045,2010-10-01 16:06:34.527
12051,2010,9,2.1638,-0.2045,2010-10-01 16:06:34.527
12051,2010,8,2.0087,-0.1198,2010-10-01 16:09:32.86
12051,2010,9,2.0087,-0.1198,2010-10-01 16:09:32.86
12051,2010,8,2.6376,-0.3644,2010-10-01 16:12:48.257
12051,2010,9,2.6376,-0.3644,2010-10-01 16:12:48.273
12051,2010,8,2.454,-0.3109,2010-10-01 16:16:35.23
12051,2010,9,2.454,-0.3109,2010-10-01 16:16:35.243
