CodigoCentroSaida;CodigoAditivo1;PercentualAditivoConvencional1;PercentualReducaoConvencional1;PercentualAditivoBombeavel1;PercentualReducaoBombeavel1;CodigoAditivo2;PercentualAditivoConvencional2;PercentualReducaoConvencional2;PercentualAditivoBombeavel2;PercentualReducaoBombeavel2;ArIncorporado;DataAlteracao
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 16:13:25.920
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 16:14:31.610
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 16:57:29.757
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:05:15.867
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:12:29.017
51020;245;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:16:58.027
51020;245;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:20:22.030
51020;245;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:29:20.227
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:35:28.640
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:37:35.500
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 17:58:02.003
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 18:03:41.063
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-22 18:24:23.917
80020;347;0.800;7.000;0.800;7.000;10;0.000;0.000;0.000;0.000;96.000;2021-01-22 18:42:52.970
80020;347;0.800;7.000;0.800;7.000;10;0.005;0.000;0.005;0.000;96.000;2021-01-22 18:44:50.777
80020;347;0.800;7.000;0.800;7.000;10;0.001;0.000;0.001;0.000;96.000;2021-01-22 18:46:00.830
80020;347;0.800;7.000;0.800;7.000;347;0.001;0.000;0.001;0.000;96.000;2021-01-22 18:48:39.453
80020;347;0.800;7.000;0.800;7.000;347;0.001;0.000;0.001;0.000;96.000;2021-01-22 19:08:57.243
80020;347;0.800;7.000;0.800;7.000;347;0.001;0.000;0.001;0.000;96.000;2021-01-22 19:11:00.653
80020;347;0.800;7.000;0.800;7.000;10;0.001;0.000;0.001;0.000;96.000;2021-01-22 19:12:45.100
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 09:47:18.207
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 10:08:02.367
51340;30;0.650;9.000;0.650;9.000;NULL;NULL;NULL;NULL;NULL;99.999;2021-01-25 10:09:30.157
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 10:12:01.870
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 10:32:43.133
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 13:52:22.597
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 14:16:17.907
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 15:00:58.653
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 16:08:03.617
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 16:33:11.827
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 17:50:04.700
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-25 19:11:07.417
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 10:55:28.490
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 11:22:38.247
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 17:42:28.977
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 17:55:21.757
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 18:24:14.080
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 18:34:34.830
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 18:40:48.577
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 18:50:27.373
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 18:53:41.390
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:09:03.050
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:29:05.790
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:29:14.123
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:40:08.790
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:46:22.480
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:46:30.617
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 19:51:49.647
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 20:52:25.740
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 20:55:07.417
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-26 21:17:45.953
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-27 09:31:57.947
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-27 10:13:09.610
51020;347;0.750;5.000;0.750;5.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-28 10:13:44.630
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-28 10:22:55.550
80020;347;0.800;7.000;0.800;7.000;10;0.001;0.000;0.001;0.000;96.000;2021-01-28 10:50:54.897
80020;347;0.800;7.000;0.800;7.000;10;0.001;0.000;0.001;0.000;96.000;2021-01-28 10:58:48.547
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-28 16:49:43.710
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-28 18:33:12.283
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-28 18:48:25.160
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-28 19:02:11.590
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 11:12:19.760
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 11:18:41.080
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 11:38:16.383
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 13:51:56.880
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 14:02:09.097
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 14:14:19.623
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 16:17:56.133
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 16:18:04.290
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 16:40:28.493
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-29 16:40:37.320
