,CodigoReceita,Volume,TipoLancamento,QuantidadeAgua,ConsumoTotal,TipoTraco,FCK,Rompimento7Dias,Rompimento28Dias,ResultadoEsperado
3032,23009051,8.0,B,1040.0,2256.0,N,25.0,,,49.82577440720347
3033,23009051,8.0,B,1040.0,2256.0,N,25.0,20.7,32.21,49.82577440720347
3034,23009051,8.0,B,1040.0,2256.0,N,25.0,,,49.82577440720347
3035,23009051,8.0,B,1040.0,2256.0,N,25.0,18.61,29.66,49.82577440720347
3036,23009051,8.0,B,1040.0,2256.0,N,25.0,17.35,28.78,49.82577440720347
3039,23009051,8.0,B,1328.0,2256.0,N,25.0,16.99,24.76,39.784149481554316
3040,23009051,8.0,B,1328.0,2256.0,N,25.0,20.23,27.79,39.784149481554316
3041,23009051,8.0,B,1328.0,2256.0,N,25.0,18.75,26.82,39.784149481554316
3042,23009051,6.0,B,996.0,1692.0,N,25.0,19.3,27.01,39.784149481554316
3043,23009051,7.0,B,1162.0,1974.0,N,25.0,21.35,27.34,39.784149481554316
3046,23009051,6.5,B,1099.0,1800.5,N,25.0,17.87,25.82,38.28860682958712
3052,23009051,8.0,B,1328.0,2216.0,N,25.0,17.26,25.1,39.045820033576575
3053,23009051,8.0,B,1328.0,2216.0,N,25.0,16.64,22.91,39.045820033576575
3054,23009051,8.0,B,1328.0,2216.0,N,25.0,18.87,27.22,39.045820033576575
3056,23009051,8.0,B,1328.0,2216.0,N,25.0,,,39.045820033576575
3059,23009051,6.5,B,1079.0,1800.5,N,25.0,14.7,22.24,39.045820033576575
3062,23009051,8.0,B,1024.0,2216.0,N,25.0,17.49,26.25,49.72915718826858
3065,23009051,8.0,B,1024.0,2216.0,N,25.0,18.84,25.2,49.72915718826858
3068,23009051,8.0,B,1192.0,2216.0,N,25.0,16.84,25.1,43.50754559993693
3069,23009051,7.0,B,1043.0,1939.0,N,25.0,18.28,26.72,43.50754559993693
3073,23009051,5.5,B,886.0,1523.5,N,25.0,,27.57,40.28504595405792
3074,23009051,6.0,B,984.0,1662.0,N,25.0,15.71,25.77,39.546020553694355
3076,23009051,8.0,B,1328.0,2216.0,N,25.0,15.77,23.12,39.045820033576575
3077,23009051,8.0,B,1328.0,2216.0,N,25.0,14.54,22.77,39.045820033576575
3078,23009051,8.0,B,1328.0,2216.0,N,25.0,16.0,25.0,39.045820033576575
3080,23009051,6.0,B,996.0,1662.0,N,25.0,15.58,25.1,39.045820033576575
3084,23009051,8.0,B,1328.0,2216.0,N,25.0,15.02,25.2,39.045820033576575
3090,23009051,8.0,B,1328.0,2216.0,N,25.0,14.61,22.63,39.045820033576575
3093,23009051,8.0,B,1384.0,2216.0,N,25.0,13.57,23.05,37.34441924432596
3094,23009051,8.0,B,1384.0,2216.0,N,25.0,15.19,22.84,37.34441924432596
3102,23009051,8.0,B,1336.0,2352.0,N,25.0,17.47,26.4,41.25741821741173
3104,23009051,7.0,B,1169.0,2058.0,N,25.0,17.73,27.38,41.25741821741173
3106,23009051,8.0,B,1336.0,2352.0,N,25.0,18.42,27.17,41.25741821741173
3107,23009051,8.0,B,1336.0,2352.0,N,25.0,21.18,28.07,41.25741821741173
3108,23009051,8.0,B,1336.0,2352.0,N,25.0,19.17,27.27,41.25741821741173
3109,23009051,8.0,B,1336.0,2360.0,N,25.0,21.97,29.19,41.39771213395352
3110,23009051,8.0,B,1336.0,2360.0,N,25.0,21.06,27.94,41.39771213395352
3111,23009051,5.0,B,835.0,1475.0,N,25.0,19.02,28.45,41.39771213395352
3114,23009051,8.0,B,1336.0,2360.0,N,25.0,19.52,28.54,41.39771213395352
3115,23009051,7.0,B,1197.0,2065.0,N,25.0,24.52,33.75,40.41983104952726
3116,23009051,7.0,B,1197.0,2065.0,N,25.0,24.79,33.33,40.41983104952726
