CodigoReceita;Idade;TipoTraco;CodigoAglomerante;FCK;RelacaoAguaCimento
29069051;28;N;68051;20.00;0.850
29584051;28;N;70051;20.00;0.743
30479051;28;N;70051;20.00;0.844
30560051;28;N;62051;20.00;0.850
30908051;28;N;66051;20.00;0.805
32156051;28;N;24051;20.00;0.837
33376051;28;N;71051;20.00;0.755
33746051;28;N;61051;20.00;0.876
33790051;28;N;60051;20.00;0.765
34646051;28;N;75051;20.00;0.785
35836051;28;N;44051;20.00;0.822
35843051;28;N;79051;20.00;0.823
36548051;28;N;77051;20.00;0.757
38538051;28;N;85051;20.00;0.730
38663051;28;N;88051;20.00;0.695
40537051;28;N;96051;20.00;0.819
41247051;28;N;12051;20.00;0.668
41298051;28;N;94051;20.00;0.753
42198051;28;N;95051;20.00;0.857
44007051;28;N;11051;20.00;0.932
45442051;28;N;14051;20.00;0.929
45875051;28;N;7051;20.00;0.929
49114051;28;N;112051;20.00;0.882
49116051;28;N;114051;20.00;0.819
49118051;28;N;111051;20.00;0.882
49120051;28;N;113051;20.00;0.819
52378051;28;N;120051;20.00;0.898
40051;28;N;3051;15.00;0.919
41051;28;N;8051;15.00;1.046
42051;28;N;41051;15.00;1.010
43051;28;N;12051;15.00;0.813
2738051;28;N;18051;15.00;0.900
3821051;28;N;15051;15.00;0.900
5080051;28;N;25051;15.00;0.837
5246051;28;N;15051;15.00;1.010
5247051;28;N;18051;15.00;0.970
8131051;28;N;26051;15.00;0.899
9212051;28;N;29051;15.00;0.890
11453051;28;N;4051;15.00;0.997
11454051;28;N;13051;15.00;0.919
12345051;28;N;10051;15.00;1.030
12346051;28;N;17051;15.00;1.030
15873051;28;N;43051;15.00;0.797
19254051;28;N;46051;15.00;0.794
19262051;28;N;45051;15.00;0.836
21014051;28;N;57051;15.00;0.813
22326051;28;N;60051;15.00;0.890
23647051;28;N;15051;15.00;0.851
23649051;28;N;63051;15.00;0.857
24047051;28;N;64051;15.00;0.869
25397051;28;N;41051;15.00;0.858
25769051;28;N;41051;15.00;0.858
25771051;28;N;63051;15.00;0.857
26296051;28;N;64051;15.00;0.878
26454051;28;N;65051;15.00;0.835
26713051;28;N;41051;15.00;0.858
26715051;28;N;63051;15.00;0.939
28204051;28;N;29051;15.00;0.890
28206051;28;N;3051;15.00;0.900
29045051;28;N;68051;15.00;0.963
29701051;28;N;70051;15.00;0.828
30045051;28;N;72051;15.00;0.859
30307051;28;N;62051;15.00;0.963
30453051;28;N;70051;15.00;0.939
30854051;28;N;66051;15.00;0.908
32142051;28;N;24051;15.00;0.941
34427051;28;N;61051;15.00;0.996
35899051;28;N;79051;15.00;0.919
37710051;28;N;75051;15.00;0.882
38509051;28;N;85051;15.00;0.807
38638051;28;N;88051;15.00;0.767
39992051;28;N;93051;15.00;0.871
44320051;28;N;108051;15.00;1.085
45942051;28;N;7051;15.00;1.048
45944051;28;N;96051;15.00;0.945
46022051;28;N;11051;15.00;1.051
47203051;28;N;14051;15.00;1.048
49541051;28;N;113051;15.00;0.906
50574051;28;N;114051;15.00;0.906
51293051;28;N;111051;15.00;0.990
51294051;28;N;112051;15.00;0.990
51298051;28;N;120051;15.00;1.009
11051;28;N;3051;15.00;0.900
351051;28;N;8051;15.00;1.047
352051;28;N;NULL;15.00;1.023
353051;28;N;41051;15.00;1.016
354051;28;N;12051;15.00;0.814
616051;28;N;41051;15.00;0.899
747051;28;N;13051;15.00;0.945
1010051;28;N;3051;15.00;1.028
1060051;28;N;10051;15.00;1.030
1352051;28;N;15051;15.00;1.012
1469051;28;N;15051;15.00;0.897
1951051;28;N;14051;15.00;0.926
2426051;28;N;4051;15.00;1.048
2569051;28;N;11051;15.00;0.830
2760051;28;N;18051;15.00;0.897
3713051;28;N;17051;15.00;1.039
3720051;28;N;10051;15.00;0.894
4891051;28;N;18051;15.00;0.966
5014051;28;N;25051;15.00;0.837
5657051;28;N;24051;15.00;0.939
8068051;28;N;26051;15.00;0.897
9206051;28;N;29051;15.00;0.890
10862051;28;N;27051;15.00;1.000
12211051;28;N;17051;15.00;1.030
15018051;28;N;43051;15.00;0.798
15888051;28;N;44051;15.00;0.877
15961051;28;N;45051;15.00;0.836
16059051;28;N;46051;15.00;0.794
16263051;28;N;17051;15.00;0.979
16327051;28;N;10051;15.00;0.925
18544051;28;N;12051;15.00;0.813
20255051;28;N;55051;15.00;0.907
20583051;28;N;15051;15.00;0.853
20589051;28;N;18051;15.00;0.979
20981051;28;N;58051;15.00;0.899
20983051;28;N;57051;15.00;0.816
21194051;28;N;59051;15.00;0.825
21347051;28;N;45051;15.00;0.836
22330051;28;N;60051;15.00;0.890
23659051;28;N;63051;15.00;0.849
23661051;28;N;15051;15.00;0.853
24053051;28;N;64051;15.00;0.869
25721051;28;N;41051;15.00;0.858
25723051;28;N;63051;15.00;0.857
25725051;28;N;64051;15.00;0.869
26302051;28;N;64051;15.00;0.878
26460051;28;N;65051;15.00;0.835
26725051;28;N;41051;15.00;0.858
26727051;28;N;63051;15.00;0.939
28200051;28;N;29051;15.00;0.890
28202051;28;N;3051;15.00;0.900
28236051;28;N;60051;15.00;0.890
28238051;28;N;13051;15.00;0.944
28410051;28;N;67051;15.00;0.817
28962051;28;N;66051;15.00;0.908
29051051;28;N;68051;15.00;0.963
29552051;28;N;70051;15.00;0.828
29865051;28;N;62051;15.00;0.963
29893051;28;N;71051;15.00;0.859
29998051;28;N;72051;15.00;0.859
30435051;28;N;70051;15.00;0.939
31239051;28;N;71051;15.00;0.843
32069051;28;N;66051;15.00;0.908
32623051;28;N;56051;15.00;0.900
33156051;28;N;28051;15.00;0.996
33585051;28;N;75051;15.00;0.882
35905051;28;N;79051;15.00;0.919
37519051;28;N;77051;15.00;0.849
38283051;28;N;81051;15.00;0.932
38515051;28;N;85051;15.00;0.807
38644051;28;N;88051;15.00;0.767
39350051;28;N;94051;15.00;0.798
39757051;28;N;96051;15.00;0.911
39974051;28;N;93051;15.00;0.871
40607051;28;N;62051;15.00;1.029
40608051;28;N;68051;15.00;0.983
41949051;28;N;91051;15.00;0.901
41951051;28;N;92051;15.00;0.903
42138051;28;N;95051;15.00;0.957
42691051;28;N;7051;15.00;1.048
43663051;28;N;4051;15.00;0.997
43816051;28;N;107051;15.00;1.108
43817051;28;N;106051;15.00;1.110
43910051;28;N;109051;15.00;1.087
43911051;28;N;108051;15.00;1.084
44088051;28;N;11051;15.00;1.051
44294051;28;N;108051;15.00;1.084
45068051;28;N;108051;15.00;1.065
45141051;28;N;109051;15.00;1.065
45383051;28;N;14051;15.00;1.048
48793051;28;N;112051;15.00;0.990
48795051;28;N;111051;15.00;0.990
48797051;28;N;113051;15.00;0.904
48799051;28;N;114051;15.00;0.904
49193051;28;N;119051;15.00;0.886
50551051;28;N;120051;15.00;1.009
14051;28;N;3051;18.00;0.827
355051;28;N;8051;18.00;0.957
356051;28;N;41051;18.00;0.935
357051;28;N;12051;18.00;0.755
748051;28;N;13051;18.00;0.864
1012051;28;N;3051;18.00;0.939
1013051;28;N;41051;18.00;0.823
1354051;28;N;15051;18.00;0.925
1943051;28;N;14051;18.00;0.932
2768051;28;N;18051;18.00;0.827
3193051;28;N;7051;18.00;0.974
4213051;28;N;15051;18.00;0.827
4522051;28;N;11051;18.00;0.774
5016051;28;N;25051;18.00;0.774
6825051;28;N;4051;18.00;0.932
8076051;28;N;26051;18.00;0.831
11413051;28;N;27051;18.00;0.888
11509051;28;N;10051;18.00;0.869
11574051;28;N;24051;18.00;0.876
12219051;28;N;10051;18.00;0.902
12220051;28;N;17051;18.00;0.958
14023051;28;N;17051;18.00;0.900
15775051;28;N;43051;18.00;0.741
15971051;28;N;45051;18.00;0.756
15973051;28;N;46051;18.00;0.739
16829051;28;N;10051;18.00;0.861
16831051;28;N;17051;18.00;0.882
24076051;28;N;64051;18.00;0.809
24211051;28;N;63051;18.00;0.791
30753051;28;N;65051;18.00;0.774
30789051;28;N;70051;18.00;0.880
31128051;28;N;71051;18.00;0.802
31242051;28;N;71051;18.00;0.788
31863051;28;N;29051;18.00;0.802
31879051;28;N;62051;18.00;0.892
39266051;28;N;85051;18.00;0.759
39267051;28;N;83051;18.00;0.794
15051;28;N;3051;20.00;0.784
358051;28;N;8051;20.00;0.938
359051;28;N;41051;20.00;0.899
360051;28;N;12051;20.00;0.720
370051;28;N;3051;20.00;0.889
749051;28;N;13051;20.00;0.819
1062051;28;N;10051;20.00;0.926
1105051;28;N;41051;20.00;0.785
1267051;28;N;10051;20.00;0.916
1356051;28;N;15051;20.00;0.878
1745051;28;N;NULL;20.00;0.905
1958051;28;N;14051;20.00;0.931
2007051;28;N;11051;20.00;0.739
2770051;28;N;18051;20.00;0.784
3350051;28;N;4051;20.00;0.929
3645051;28;N;17051;20.00;0.926
3994051;28;N;15051;20.00;0.784
4893051;28;N;18051;20.00;0.836
5006051;28;N;25051;20.00;0.736
5743051;28;N;17051;20.00;0.916
8085051;28;N;26051;20.00;0.788
8635051;28;N;27051;20.00;0.843
9190051;28;N;29051;20.00;0.794
10652051;28;N;7051;20.00;0.929
10656051;28;N;24051;20.00;0.838
14989051;28;N;43051;20.00;0.713
15884051;28;N;45051;20.00;0.707
15983051;28;N;46051;20.00;0.705
16004051;28;N;14051;20.00;0.848
16162051;28;N;44051;20.00;0.782
16255051;28;N;10051;20.00;0.827
16462051;28;N;17051;20.00;0.827
19709051;28;N;15051;20.00;0.772
19711051;28;N;18051;20.00;0.823
20755051;28;N;57051;20.00;0.747
21031051;28;N;55051;20.00;0.816
21274051;28;N;59051;20.00;0.698
22350051;28;N;60051;20.00;0.795
22440051;28;N;42051;20.00;0.857
22639051;28;N;41051;20.00;0.819
22641051;28;N;62051;20.00;0.823
23096051;28;N;11051;20.00;0.739
23098051;28;N;58051;20.00;0.798
23299051;28;N;12051;20.00;0.720
23711051;28;N;63051;20.00;0.756
23713051;28;N;15051;20.00;0.772
24100051;28;N;64051;20.00;0.769
24370051;28;N;57051;20.00;0.747
25314051;28;N;41051;20.00;0.819
25607051;28;N;64051;20.00;0.769
25614051;28;N;41051;20.00;0.749
25616051;28;N;63051;20.00;0.750
25936051;28;N;10051;20.00;0.765
26326051;28;N;64051;20.00;0.768
26496051;28;N;65051;20.00;0.737
26773051;28;N;63051;20.00;0.818
26775051;28;N;41051;20.00;0.749
28145051;28;N;60051;20.00;0.795
28147051;28;N;13051;20.00;0.819
28178051;28;N;42051;20.00;0.749
28180051;28;N;42051;20.00;0.784
28190051;28;N;29051;20.00;0.795
28192051;28;N;3051;20.00;0.784
28418051;28;N;67051;20.00;0.726
28964051;28;N;66051;20.00;0.805
29075051;28;N;68051;20.00;0.850
29560051;28;N;70051;20.00;0.743
29833051;28;N;71051;20.00;0.768
29867051;28;N;62051;20.00;0.850
30000051;28;N;72051;20.00;0.776
30465051;28;N;70051;20.00;0.844
31244051;28;N;71051;20.00;0.755
32532051;28;N;74051;20.00;0.707
32542051;28;N;74051;20.00;0.707
34097051;28;N;75051;20.00;0.785
34265051;28;N;60051;20.00;0.765
35705051;28;N;28051;20.00;0.861
35707051;28;N;61051;20.00;0.858
35858051;28;N;79051;20.00;0.823
36499051;28;N;77051;20.00;0.757
37459051;28;N;81051;20.00;0.813
38317051;28;N;85051;20.00;0.819
38339051;28;N;68051;20.00;0.867
38351051;28;N;85051;20.00;0.716
38362051;28;N;88051;20.00;0.695
39340051;28;N;94051;20.00;0.716
39714051;28;N;96051;20.00;0.819
39976051;28;N;93051;20.00;0.774
40933051;28;N;62051;20.00;0.904
41717051;28;N;91051;20.00;0.806
41955051;28;N;95051;20.00;0.857
42670051;28;N;92051;20.00;0.805
43767051;28;N;107051;20.00;0.984
43777051;28;N;106051;20.00;0.986
43779051;28;N;107051;20.00;0.986
44090051;28;N;11051;20.00;0.932
44160051;28;N;109051;20.00;0.968
44161051;28;N;108051;20.00;0.890
45115051;28;N;14051;20.00;0.929
45151051;28;N;109051;20.00;0.956
45155051;28;N;108051;20.00;0.956
48973051;28;N;113051;20.00;0.819
48975051;28;N;112051;20.00;0.882
48977051;28;N;114051;20.00;0.819
48986051;28;N;119051;20.00;0.788
51826051;28;N;120051;20.00;0.898
52682051;28;N;111051;20.00;0.882
16051;28;N;3051;25.00;0.687
361051;28;N;8051;25.00;0.807
362051;28;N;41051;25.00;0.791
363051;28;N;12051;25.00;0.643
455051;28;N;3051;25.00;0.797
546051;28;N;4051;25.00;0.821
548051;28;N;10051;25.00;0.836
690051;28;N;41051;25.00;0.697
750051;28;N;13051;25.00;0.717
1350051;28;N;15051;25.00;0.769
1358051;28;N;15051;25.00;0.697
1743051;28;N;NULL;25.00;0.793
1949051;28;N;14051;25.00;0.832
